raw_row_number,date,time,location,county_name,subject_age,subject_race,subject_sex,officer_id_hash,department_name,type,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,search_basis,reason_for_frisk,reason_for_search,reason_for_stop,raw_Ethnicity,raw_Race,raw_action_description
19179089,2015-03-21,20:01:00,"nan, Durham County",Durham County,33,black,female,f6e97b759c,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Equipment Violation,N,B,Verbal Warning
19179090,2015-03-21,11:40:00,"nan, Durham County",Durham County,25,black,female,81f290e452,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Stop Light/Sign Violation,N,B,Verbal Warning
19179459,2015-03-21,17:00:00,"nan, Durham County",Durham County,26,black,male,5a6f9ebaec,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation,N,B,Citation Issued
19180240,2015-03-21,19:19:00,"nan, Durham County",Durham County,24,black,female,10e24a4093,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Stop Light/Sign Violation,N,B,Verbal Warning
19180242,2015-03-21,20:16:00,"nan, Durham County",Durham County,44,black,male,10e24a4093,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Equipment Violation,N,B,Verbal Warning
19180617,2015-03-21,00:45:00,"nan, Durham County",Durham County,43,black,female,81f290e452,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation,N,B,Verbal Warning
19180618,2015-03-21,00:35:00,"nan, Durham County",Durham County,37,black,male,027b5eaf0e,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Safe Movement Violation,N,B,Verbal Warning
19180619,2015-03-21,00:40:00,"nan, Durham County",Durham County,37,black,male,8fbd51c440,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation,N,B,Citation Issued
19180620,2015-03-21,00:43:00,"nan, Durham County",Durham County,31,white,male,980906ef3f,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation,N,W,Citation Issued
19180621,2015-03-21,00:58:00,"nan, Durham County",Durham County,68,black,male,027b5eaf0e,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Equipment Violation,N,B,Verbal Warning
19180622,2015-03-21,01:15:00,"nan, Durham County",Durham County,27,black,female,8fbd51c440,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Equipment Violation,N,B,Verbal Warning
19180623,2015-03-21,01:33:00,"nan, Durham County",Durham County,45,black,female,1147a5b3e4,Durham Police Department,vehicular,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Equipment Violation,N,B,No Action Taken
19180624,2015-03-21,02:30:00,"nan, Durham County",Durham County,24,black,male,980906ef3f,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Safe Movement Violation,N,B,Verbal Warning
19180625,2015-03-21,03:21:00,"nan, Durham County",Durham County,24,hispanic,male,e8e9bd8d8c,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Safe Movement Violation,H,W,Verbal Warning
19180626,2015-03-21,00:50:00,"nan, Durham County",Durham County,31,white,male,34704af8e5,Durham Police Department,vehicular,TRUE,FALSE,FALSE,arrest,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Driving While Impaired,N,W,On-View Arrest
19180627,2015-03-21,01:49:00,"nan, Durham County",Durham County,14,hispanic,male,8c47e24b44,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Equipment Violation,H,W,Verbal Warning
19180632,2015-03-21,09:20:00,"nan, Durham County",Durham County,54,black,male,23cac1dfad,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Stop Light/Sign Violation,N,B,Verbal Warning
19180633,2015-03-21,09:30:00,"nan, Durham County",Durham County,22,black,female,23cac1dfad,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation,N,B,Verbal Warning
19180634,2015-03-21,09:40:00,"nan, Durham County",Durham County,43,black,male,23cac1dfad,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Investigation,N,B,Written Warning
19180635,2015-03-21,10:10:00,"nan, Durham County",Durham County,26,black,female,23cac1dfad,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation,N,B,Verbal Warning
19180636,2015-03-21,11:00:00,"nan, Durham County",Durham County,35,black,male,23cac1dfad,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation,N,B,Citation Issued
19180637,2015-03-21,10:15:00,"nan, Durham County",Durham County,24,black,male,9215344f41,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Stop Light/Sign Violation,N,B,Verbal Warning
19180638,2015-03-21,11:45:00,"nan, Durham County",Durham County,23,black,male,1a621ba300,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Safe Movement Violation,N,B,Written Warning
19180639,2015-03-21,08:10:00,"nan, Durham County",Durham County,64,white,female,d16f7116d4,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Safe Movement Violation,N,W,Citation Issued
19180640,2015-03-21,13:21:00,"nan, Durham County",Durham County,24,white,female,5d8b03f925,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Other Motor Vehicle Violation,N,W,Citation Issued
19180641,2015-03-21,17:05:00,"nan, Durham County",Durham County,26,black,male,ad3824331d,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Seat Belt Violation,N,B,Citation Issued
19180642,2015-03-21,17:30:00,"nan, Durham County",Durham County,54,hispanic,male,6d8f471b55,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Equipment Violation,H,W,Verbal Warning
19180643,2015-03-21,16:57:00,"nan, Durham County",Durham County,34,hispanic,male,f6e97b759c,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Checkpoint,H,W,Citation Issued
19180644,2015-03-21,18:20:00,"nan, Durham County",Durham County,45,white,female,05f1e9e107,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Speed Limit Violation,N,W,Verbal Warning
19180645,2015-03-21,18:40:00,"nan, Durham County",Durham County,39,white,male,05f1e9e107,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Speed Limit Violation,N,W,Citation Issued
