row_number,year,unc_status,comp_major,primary_major,prereqs,prior_exp,AP_Principles,AP_A,other_comp,prior_time,languages,residency,on_campus,international,section,lesson_time,sync_perf,all_sync,own_notes,own_examples,oh_visits,ls_effective,lsqs_effective,programming_effective,qz_effective,oh_effective,tutoring_effective,kaki_effective,pace,difficulty,understanding,interested,valuable,grade,would_recommend
0,21,Returning UNC Student,No,Public Health,"MATH 231, MATH 232, MATH 233, STOR 155",1-2 years,No,No,UNC,1 month or so,"Python, R / Matlab / SAS, Other",Out-of-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,1,3,3,7,4,2,3,5,3,4,7,3,4,5,5,5,7,7,A,6
1,23,Returning UNC Student,No,Statistics,"MATH 130, MATH 231, STOR 120, STOR 151",2-6 months,No,No,UNC,None to less than one month!,Python,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,1,4,3,6,1,5,5,2,3,7,7,,7,7,7,3,7,7,B,7
2,23,Returning UNC Student,No,Statistics,"MATH 130, MATH 231, STOR 120, STOR 151",2-6 months,No,No,UNC,None to less than one month!,Python,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,1,4,3,6,1,5,5,2,3,7,7,,7,7,7,3,7,7,B,7
3,23,Incoming Transfer Student,No,Sociology,"MATH 231, MATH 232, MATH 233, MATH 347, MATH 381, STOR 155",2-6 months,No,No,On-line course,None to less than one month!,"Python, Java / C#, R / Matlab / SAS, HTML / CSS, SQL",Out-of-state,No,I am living Internationally,Section 1 - 3:30pm - Sync + Async,4,4,4,6,4,0,6,6,6,6,,,7,4,4,5,5,6,A,6
4,24,Incoming First-year Student,Yes - BS,Computer Science,"MATH 129P, MATH 231, MATH 232, MATH 233, STOR 120, STOR 155",7-12 months,Yes,Yes,High school course (IB or other),1 month or so,"Python, Java / C#, BASIC",In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,4,5,4,0,4,5,6,4,,,,3,5,5,4,5,A,4
5,22,Returning UNC Student,Yes - Minor,Physics,"MATH 231, MATH 232, MATH 233, MATH 347, MATH 381",1-2 years,No,No,UNC,7-12 months,"Python, Java / C#, C / C++, JavaScript / TypeScript, R / Matlab / SAS, HTML / CSS, SQL, Bash",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,6,5,2,6,0,6,6,6,6,,,,4,3,5,6,6,A,7
6,21,Returning UNC Student,No,Economics,"MATH 233, MATH 381",7-12 months,No,Yes,None,None to less than one month!,"Python, Java / C#, R / Matlab / SAS",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,5,3,4,2,0,5,3,6,6,,,,4,2,6,6,7,A,6
7,23,Returning UNC Student,No,Psychology,"MATH 231, PSYC 210, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,6,7,7,4,1,7,5,5,4,6,,5,7,7,3,5,7,C,3
8,23,Returning UNC Student,No,Math,"MATH 130, MATH 231, MATH 232, MATH 233, MATH 347, MATH 381, PSYC 210, STOR 155",7-12 months,Yes,No,High school course (IB or other),None to less than one month!,"Python, Java / C#",Out-of-state,Yes,I am living Internationally,Section 1 - 3:30pm - Sync + Async,7,2,2,6,1,0,5,5,7,4,5,5,5,4,2,5,5,5,B,6
9,23,Returning UNC Student,No,Political Science,"MATH 129P, MATH 231, STOR 151",2-6 months,No,No,Other,None to less than one month!,"Python, R / Matlab / SAS, HTML / CSS",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,2,2,7,3,1,6,6,7,5,,,6,5,3,6,5,4,A,5
10,23,Returning UNC Student,No,Environmental Science,"MATH 130, MATH 231, MATH 232, MATH 233",7-12 months,Yes,No,UNC,None to less than one month!,"Python, JavaScript / TypeScript",In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,2,5,7,5,1,7,7,7,5,7,,,4,4,5,7,7,B,6
11,24,Incoming First-year Student,No,Statistics,"MATH 231, MATH 232, MATH 233",2-6 months,No,No,High school course (IB or other),None to less than one month!,"Python, JavaScript / TypeScript",In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,4,4,1,4,0,6,7,7,2,,,,3,3,6,7,7,A,7
12,24,Returning UNC Student,No,Journalism,"MATH 129P, MATH 231, MATH 232, STOR 151",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,4,4,7,6,1,7,5,7,5,5,4,4,4,3,4,6,5,A,6
13,24,Returning UNC Student,No,Journalism,"MATH 129P, MATH 231, MATH 232, STOR 151",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,4,4,7,6,1,7,5,7,5,5,4,4,4,3,4,6,5,A,6
15,22,Returning UNC Student,No,Exercise And Sport Science,"MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,2,2,5,3,0,7,7,7,7,,,6,5,4,6,7,7,A,7
16,24,Incoming First-year Student,Yes - BA,Neuroscience,"MATH 129P, MATH 130, MATH 231, MATH 232, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,5,4,6,2,3,5,5,6,3,5,5,2,6,6,5,6,6,A,6
17,24,Incoming First-year Student,Yes - BS,Computer Science,MATH 231,None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,7,7,7,5,2,5,4,6,4,7,7,6,5,5,4,7,6,B,6
18,23,Returning UNC Student,No,Psychology,PSYC 210,None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,4,4,4,2,4,4,4,4,,,,4,4,4,4,4,B,4
19,24,Returning UNC Student,Yes - BS,Computer Science,"MATH 130, MATH 231",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,3,3,7,3,2,6,5,6,4,7,,,6,5,5,6,5,B,6
20,22,Returning UNC Student,No,Advertising And Public Relations,"MATH 130, MATH 231",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,4,4,4,2,4,4,4,4,,,,4,4,4,4,4,B,4
21,22,Returning UNC Student,No,Psychology,"MATH 130, MATH 231, PSYC 210, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,4,4,7,3,4,2,3,3,2,7,5,7,7,7,1,1,1,D,1
22,24,Incoming First-year Student,Yes - BS,Computer Science,"MATH 129P, MATH 231, STOR 151",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,5,5,7,3,4,4,5,6,4,7,7,,5,6,4,5,6,A,5
23,23,Incoming First-year Student,Yes - Minor,Environmental Science,"MATH 231, MATH 232",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,7,7,6,4,2,5,6,7,6,7,7,,6,6,5,6,7,B,6
24,23,Returning UNC Student,No,Biology,"MATH 130, MATH 231",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,4,6,7,6,1,6,5,7,3,7,,,6,5,5,7,7,A,7
25,23,Returning UNC Student,No,Economics,"MATH 129P, MATH 231, MATH 232, STOR 151, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,2,2,6,3,3,7,5,6,7,7,,,5,6,4,5,6,B,5
26,22,Returning UNC Student,No,Geography,"MATH 231, MATH 232, MATH 233, MATH 381, STOR 155",2-6 months,No,No,On-line course,2-6 months,"Python, Java / C#, JavaScript / TypeScript, R / Matlab / SAS, HTML / CSS",In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,4,4,4,2,4,4,4,4,,,,4,4,4,4,4,B,4
27,23,Incoming Transfer Student,No,Psychology,"MATH 130, MATH 231, MATH 232",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,4,2,1,2,2,4,5,6,1,7,,3,6,7,3,7,7,C,4
28,24,Incoming First-year Student,No,Environmental Science,"MATH 129P, MATH 231",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,6,4,7,2,4,6,5,6,4,7,,,6,5,4,6,5,A,7
29,24,Returning UNC Student,No,Information Science,"MATH 130, MATH 231",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,3,3,6,6,0,6,5,7,5,5,,,4,4,5,5,5,A,6
30,24,Returning UNC Student,Yes - BA,Computer Science,"MATH 130, MATH 231, STOR 113, STOR 155",2-6 months,No,No,High school course (IB or other),None to less than one month!,"Python, Java / C#, JavaScript / TypeScript, HTML / CSS",Out-of-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,1,3,2,6,7,4,5,5,7,4,7,6,5,6,5,4,7,7,B,6
31,24,Returning UNC Student,Yes - Minor,Statistics,"MATH 231, MATH 232, MATH 233, PSYC 210",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,4,4,4,2,4,4,4,4,,,,4,4,4,4,4,B,4
32,24,Incoming First-year Student,Yes - BS,Computer Science,"MATH 129P, MATH 231, MATH 232, MATH 233",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,4,4,4,2,4,4,4,4,,,,4,4,4,4,4,B,4
33,23,Returning UNC Student,No,Economics,"MATH 231, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,2,7,3,7,5,1,7,6,7,7,7,7,,7,7,3,4,5,B,5
34,24,Incoming First-year Student,No,Biology,MATH 231,None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,4,4,7,1,4,3,3,4,3,4,4,4,6,7,3,3,4,C,3
35,24,Incoming First-year Student,Yes - Minor,Economics,"MATH 129P, MATH 231, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,1,1,6,5,4,7,7,5,3,7,,,5,5,5,7,7,B,7
36,23,Returning UNC Student,No,Neuroscience,"MATH 130, MATH 231, MATH 232, PSYC 210",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,4,4,4,2,4,4,4,4,,,,4,4,4,4,4,B,4
37,23,Returning UNC Student,No,Neuroscience,"MATH 130, MATH 231, MATH 232, PSYC 210",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,4,4,4,2,4,4,4,4,,,,4,4,4,4,4,B,4
39,24,Incoming First-year Student,Yes - Minor,Journalism,"MATH 129P, MATH 130",2-6 months,No,Yes,High school course (IB or other),1 month or so,"Python, JavaScript / TypeScript, HTML / CSS",Out-of-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,4,6,7,6,3,7,6,7,5,6,4,5,5,5,6,7,7,A,7
40,24,Incoming First-year Student,Yes - BS,Computer Science,"MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,3,2,5,4,2,6,4,5,6,6,,3,5,4,5,6,6,A,7
41,22,Returning UNC Student,No,Economics,"MATH 130, MATH 231, MATH 232, MATH 233, MATH 381, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,4,4,4,2,4,4,4,4,,,,4,4,4,4,4,B,4
42,22,Returning UNC Student,No,Economics,"MATH 130, MATH 231, MATH 232, MATH 233, MATH 381, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,4,4,4,2,4,4,4,4,,,,4,4,4,4,4,B,4
43,22,Returning UNC Student,No,Sociology,"MATH 231, MATH 232",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,4,2,6,4,1,3,6,5,4,5,4,4,4,5,4,5,6,B,4
